Conformer,Initial PE (kcal/mol),Minimized PE (kcal/mol),RMS between initial and minimized conformer (Angstrom)
2281,-77.648,-102.475,0.081
2282,-85.430,-105.545,0.072
2283,-96.096,-109.311,0.062
2284,-104.172,-113.149,0.049
2285,-108.628,-116.170,0.043
2286,-108.423,-117.171,0.049
2287,-88.824,-116.481,0.083
2288,104.168,-113.897,0.123
2289,890.331,-53.267,0.319
2290,637.066,-108.376,0.182
2291,8.694,-111.445,0.102
2292,-93.876,-114.904,0.078
2293,-104.501,-116.061,0.062
2294,-105.813,-116.231,0.059
2295,-106.442,-116.286,0.057
2296,-106.885,-116.429,0.054
2297,-106.729,-116.446,0.053
2298,-106.057,-115.976,0.053
2299,-104.379,-114.526,0.056
2300,-98.838,-111.737,0.070
2301,-71.906,-107.378,0.094
2302,3.174,-102.010,0.108
2303,-27.533,-100.296,0.104
2304,-71.124,-100.906,0.094
2305,-53.019,-97.113,0.087
2306,-62.879,-100.391,0.088
2307,-82.890,-105.555,0.087
2308,-97.156,-110.477,0.074
2309,-104.275,-113.854,0.057
2310,-104.509,-114.714,0.056
2311,-83.647,-113.544,0.079
2312,-21.592,-111.100,0.095
2313,-21.854,-112.406,0.100
2314,-76.318,-117.278,0.095
2315,-97.230,-122.136,0.091
2316,-106.868,-125.370,0.079
2317,-115.859,-126.605,0.058
2318,-118.654,-126.640,0.049
2319,-116.362,-124.837,0.053
2320,-112.910,-121.649,0.052
2321,-109.828,-119.051,0.054
2322,-107.708,-116.525,0.052
2323,-105.937,-114.045,0.049
2324,-103.263,-111.396,0.049
2325,-99.685,-108.950,0.056
2326,-94.334,-106.467,0.063
2327,-83.166,-102.777,0.076
2328,-64.986,-98.591,0.083
2329,-42.477,-105.173,0.102
2330,-56.274,-108.366,0.101
2331,-83.452,-112.049,0.093
2332,-100.619,-115.010,0.076
2333,-106.856,-115.813,0.053
2334,-99.823,-114.796,0.065
2335,-58.480,-112.044,0.087
2336,-18.576,-109.172,0.093
2337,-55.743,-109.109,0.093
2338,-80.248,-109.512,0.089
2339,-83.228,-109.335,0.084
2340,-89.464,-110.377,0.076
2341,-100.164,-112.963,0.065
2342,-106.931,-115.486,0.053
2343,-109.686,-116.921,0.047
2344,-110.185,-117.271,0.044
2345,-109.714,-116.896,0.043
2346,-109.283,-115.988,0.041
2347,-108.790,-114.880,0.040
2348,-108.084,-114.175,0.041
2349,-106.367,-113.498,0.045
2350,-100.944,-111.992,0.059
2351,-86.661,-109.364,0.078
2352,-60.820,-105.997,0.087
2353,-74.751,-102.451,0.079
2354,-83.348,-105.620,0.077
2355,-95.929,-109.577,0.068
2356,-104.647,-113.134,0.054
2357,-107.677,-114.610,0.045
2358,-93.526,-114.049,0.068
2359,-12.619,-111.772,0.092
2360,60.316,-110.946,0.101
2361,-33.064,-113.576,0.099
2362,-83.044,-115.365,0.087
2363,-89.582,-116.284,0.087
2364,-95.479,-115.355,0.082
2365,-102.890,-114.066,0.062
2366,-106.693,-114.515,0.051
2367,-108.318,-115.098,0.046
2368,-108.573,-115.101,0.044
2369,-107.691,-114.281,0.043
2370,-105.324,-112.399,0.047
2371,-98.832,-109.462,0.060
2372,-89.679,-106.698,0.071
2373,-90.839,-105.931,0.077
2374,-92.123,-104.448,0.068
2375,-86.956,-102.831,0.070
2376,-78.105,-101.634,0.078
2377,-44.833,-102.584,0.097
2378,-58.796,-106.030,0.098
2379,-83.487,-110.296,0.095
2380,-98.933,-113.306,0.078
2381,-104.038,-113.920,0.057
2382,-92.486,-112.985,0.071
2383,-41.904,-110.356,0.087
2384,-16.145,-109.551,0.101
2385,-57.806,-110.002,0.095
2386,-71.162,-110.536,0.100
2387,-67.670,-109.507,0.093
2388,-80.148,-109.809,0.084
2389,-97.663,-112.230,0.072
2390,-105.889,-114.351,0.050
2391,-108.415,-115.636,0.043
2392,-108.437,-115.797,0.044
2393,-107.550,-115.134,0.044
2394,-106.837,-114.015,0.042
2395,-106.250,-112.828,0.040
2396,-105.465,-112.002,0.040
2397,-103.453,-110.973,0.045
2398,-97.761,-108.988,0.056
2399,-83.759,-105.999,0.072
2400,-59.933,-103.158,0.085
